no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,天氣,place_id
1788,2022/2/7 12:18,"0150deb7d0,0197",U863b8cae579201d96dab41d5e002a5a3,嚐香聚牛肉麵,23.57425,119.57308,240732,31,0,雨,ChIJN2ZU9eVabDQR_34Xh_UFy-8
1790,2022/2/7 12:21,"0150deb7d0,0291",U863b8cae579201d96dab41d5e002a5a3,天津蔥抓餅,23.57431,119.5792,240743,31,0,雨,ChIJQzBnhYWpQjQR7Vr5CPt4quk
1836,2022/2/7 17:40,"0150deb7d0,0334",U863b8cae579201d96dab41d5e002a5a3,小熊與樹小熊燒馬公店,23.56762,119.58277,241725,31,0,雨,ChIJIZeoF4tbbDQRArpaCIcKdRI
1877,2022/2/8 12:13,"0150deb7d0,0292",U863b8cae579201d96dab41d5e002a5a3,Mr.大雞,23.57226,119.57626,243755,31,0,風,ChIJtTuEYKlbbDQRqiQ8EFcGZwA
1923,2022/2/8 18:58,"0150deb7d0,0160",U863b8cae579201d96dab41d5e002a5a3,海玩子雞蛋糕,23.56997,119.56894,245281,31,0,風,ChIJfRyEck1bbDQRW1v231YeUP8
1998,2022/2/9 17:56,"0150deb7d0,0177",U863b8cae579201d96dab41d5e002a5a3,夏天茶飲,23.57184,119.57075,247223,31,0,風,ChIJN9-vTe5abDQRt5TDf4_F5kU
1494,2022/2/3 13:05,"0150deb7d0,0150",Ud66db3a385e85e727a0ab9f3d4130cc0,好享吃小火鍋,23.56745,119.56641,230894,69,1,風轉小雨,ChIJ20lg-PJabDQRDHiKMctfOv0
1558,2022/2/4 10:42,"0150deb7d0,0371",Ud66db3a385e85e727a0ab9f3d4130cc0,阿鳳牛肉河粉,23.57142,119.57239,233145,69,1,風,ChIJjb-f_e5abDQRjlx7oCHlPoM
1653,2022/2/5 17:14,"0150deb7d0,0372",Ud66db3a385e85e727a0ab9f3d4130cc0,ㄇㄇ的臭豆腐,23.55258,119.61097,236622,69,1,陰風 ,ChIJo0lSOWlFbDQRJlTgv1wB8Uw
116,2022/2/10 11:37,"0150deb7d0,0371",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,阿鳳牛肉河粉,23.57142,119.57239,248369,40,0,陰風 ,ChIJjb-f_e5abDQRjlx7oCHlPoM
234,2022/2/11 14:08,"0150deb7d0,0374",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,奶油蝴蝶烘焙坊,23.57647,119.57387,252207,40,0,陰風 ,ChIJz83xzeVabDQROGKi9GXiiFQ
270,2022/2/12 13:09,"0150deb7d0,0264",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,阿姨仙人掌冰,23.65683,119.55745,255089,40,0,風,ChIJXwXdi_VcbDQRXhyWMJzBcXg
278,2022/2/12 22:33,"0150deb7d0,0220",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,184巷餐酒館,23.57525,119.57606,257162,40,0,風,ChIJj542WPVbbDQR_T1PEoZEIu4
309,2022/2/12 17:49,"0150deb7d0,0150",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,好享吃小火鍋,23.56745,119.56641,256112,40,0,風,ChIJ20lg-PJabDQRDHiKMctfOv0
310,2022/2/12 17:55,"0150deb7d0,0246",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,達咖啡,23.56737,119.56745,256140,40,0,風,ChIJxXNvKt8faDQR1_7hbiLo9s0
2203,2022/3/10 09:45,"0150deb7d0,0157",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,鮮食堂海鮮蒸鍋,23.56566,119.56462,337533,40,0,晴,ChIJibnwNvNabDQR9kbvornvaEg
2260,2022/3/11 21:21,"0150deb7d0,0370",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,美味登場飯麵館,23.56881,119.57029,343621,40,0,晴,ChIJZxsnqYpbbDQR8C1qqa45Ajo
2269,2022/3/12 13:51,"0150deb7d0,0275",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,萊客帕冰品Like Par Par,23.56342,119.56493,345115,40,0,晴,ChIJgXptpF9bbDQRv1LMmIiQC_M
2278,2022/3/12 11:39,"0150deb7d0,0024",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,澎漁宴餐廳,23.56625705,119.5690162,344641,40,0,晴,ChIJV0nO1f1bbDQRoPL9XWhn6vU
123,2022/2/10 12:14,"0150deb7d0,0308",Uac8f1738516975144175970d61cd80a6,沐一日式豬排專賣店,23.57319,119.57316,248496,63,0,陰風 ,ChIJH6_areIfaDQRxbw1ItW8NYE
200,2022/2/11 13:03,"0150deb7d0,0125",Uac8f1738516975144175970d61cd80a6,赤崁海產行,23.57061,119.57209,251934,63,0,陰風 ,ChIJ1UGB9O5abDQRK6G5GcPmTEQ
324,2022/2/12 19:56,"0150deb7d0,0216",Uac8f1738516975144175970d61cd80a6,新巴適經典麻辣鍋,23.57179,119.57882,256630,63,0,風,ChIJsf69pgNbbDQR0dEMFKxMPxY
1644,2022/2/5 14:33,"0150deb7d0,0384",Ua5d612b844f3c29bede3e6e5528797f5,葉子的店,23.57429,119.57824,236259,59,0,陰風 ,ChIJY-fP1uNbbDQRoHrOePIL5aM
1688,2022/2/6 13:30,"0150deb7d0,0036",Ua5d612b844f3c29bede3e6e5528797f5,岩質咖啡,23.56646069,119.5790493,238607,59,0,風,ChIJ6wZYFepabDQRj2HrYa--7NU
1815,2022/2/7 15:11,"0150deb7d0,0395",Ua5d612b844f3c29bede3e6e5528797f5,大口香雞排,23.56719,119.56471,241252,59,0,雨,ChIJq6qqqueFbjQRH-YHnzcEI0Q
1817,2022/2/7 15:21,"0150deb7d0,0201",Ua5d612b844f3c29bede3e6e5528797f5,福鴨鴨肉大王,23.56578,119.56406,241271,59,0,雨,ChIJ30AySfNabDQRBC4aFsvnuDk
2466,2022/3/15 14:15,"0150deb7d0,0436",Ua5d612b844f3c29bede3e6e5528797f5,味真香新港鴨肉羹臭豆腐,23.57536,119.57442,353977,59,0,多雲,ChIJ-bbZLLZbbDQR9MENVN1zp3U
2497,2022/3/15 20:07,"0150deb7d0,0289",Ua5d612b844f3c29bede3e6e5528797f5,抓包．馬公分店,23.5729,119.57694,355244,59,0,多雲,ChIJeWevhehabDQR_4UAdSxyyPY
2506,2022/3/15 20:43,"0150deb7d0,0125",Ua5d612b844f3c29bede3e6e5528797f5,赤崁海產行,23.57061,119.57209,355400,59,0,多雲,ChIJ1UGB9O5abDQRK6G5GcPmTEQ
2543,2022/3/16 14:02,"0150deb7d0,0290",Ua5d612b844f3c29bede3e6e5528797f5,老餅新料蔥油餅,23.57605,119.57486,357220,59,0,陰,ChIJYVRTJhVbbDQR7tGzlovPn_A
2610,2022/3/17 00:13,"0150deb7d0,0359",Ua5d612b844f3c29bede3e6e5528797f5,Bella調酒專賣店,23.56855353,119.567152,359058,59,0,雨陰,ChIJ4xYYPAlbbDQRA0iQ6rdYDTg
927,2022/2/21 13:16,"0150deb7d0,0339",U7f8cc11658910a8d1e4cbb29fdd94e25,秀秀蔥大餅,23.5764,119.57411,283809,66,0,雨,ChIJOdEODuRabDQRdSnc3SoZEhA
976,2022/2/21 17:55,"0150deb7d0,0371",U7f8cc11658910a8d1e4cbb29fdd94e25,阿鳳牛肉河粉,23.57142,119.57239,285036,66,0,雨,ChIJjb-f_e5abDQRjlx7oCHlPoM
1051,2022/2/22 17:39,"0150deb7d0,0289",U7f8cc11658910a8d1e4cbb29fdd94e25,抓包．馬公分店,23.5729,119.57694,288386,66,0,雨,ChIJeWevhehabDQR_4UAdSxyyPY
1156,2022/2/23 08:30,"0150deb7d0,0040",U7f8cc11658910a8d1e4cbb29fdd94e25,自由塔,23.56993769,119.5713121,289841,66,0,中雨風,ChIJlzQ-Y-5abDQResCI8cBJOb8
3385,2022/3/3 15:04,"0150deb7d0,0334",U7f8cc11658910a8d1e4cbb29fdd94e25,小熊與樹小熊燒馬公店,23.56762,119.58277,316682,66,0,晴,ChIJIZeoF4tbbDQRArpaCIcKdRI
3420,2022/3/3 19:54,"0150deb7d0,0412",U7f8cc11658910a8d1e4cbb29fdd94e25,四方早餐店,23.56619,119.58263,317804,66,0,晴,ChIJ881PIbpbbDQRI9Q3-9sqGWQ
3565,2022/3/4 16:21,"0150deb7d0,0177",U7f8cc11658910a8d1e4cbb29fdd94e25,夏天茶飲,23.57184,119.57075,320090,66,0,晴,ChIJN9-vTe5abDQRt5TDf4_F5kU
3641,2022/3/5 20:48,"0150deb7d0,0072",U7f8cc11658910a8d1e4cbb29fdd94e25,日香美食坊歡迎您～,23.57466,119.5768,323948,66,0,陰風,ChIJTaiZN-ZabDQRsy1PWLxaE5I
2549,2022/3/16 15:48,"0150deb7d0,0331",U67a7a0290b58d9e0f8cff519fe54860b,泉利餅舖,23.5667,119.56789,357579,54,1,陰,ChIJTRupj_JabDQRjC8wQtfKSSM
2595,2022/3/17 10:16,"0150deb7d0,0109",U67a7a0290b58d9e0f8cff519fe54860b,萬泰食品,23.57515,119.56779,359623,54,1,雨陰,ChIJzSbbCfBabDQRDQ0Pm_5kOQ4
2686,2022/3/18 15:31,"0150deb7d0,0311",U67a7a0290b58d9e0f8cff519fe54860b,澎湖 朝陽路肉圓,23.57339,119.57697,363520,54,1,陰,ChIJb8JwguhabDQR7a0_au0jVCI
156,2022/2/10 15:59,"0150deb7d0,0197",U777bd7ab1fdf2dd08c34b34acdcf50d9,嚐香聚牛肉麵,23.57425,119.57308,249343,52,0,陰風 ,ChIJN2ZU9eVabDQR_34Xh_UFy-8
245,2022/2/11 17:25,"0150deb7d0,0144",U777bd7ab1fdf2dd08c34b34acdcf50d9,小小間,23.57003,119.56901,252965,52,0,陰風 ,ChIJfaHxGu5abDQR_LWiiTnY7QE
325,2022/2/12 20:04,"0150deb7d0,0338",U777bd7ab1fdf2dd08c34b34acdcf50d9,曾記滿福堂擔仔麵,23.57406,119.57323,256657,52,0,風,ChIJZU7sJiRbbDQR6ns6US0hX7g
1120,2022/2/23 16:52,"0150deb7d0,0197",Ud9f189e6e4cbc8628e6994a3adc90939,嚐香聚牛肉麵,23.57425,119.57308,291371,55,0,中雨風,ChIJN2ZU9eVabDQR_34Xh_UFy-8
1171,2022/2/24 22:47,"0150deb7d0,0360",Ud9f189e6e4cbc8628e6994a3adc90939,芳遠水果行,23.56751,119.56721,295575,55,0,風,ChIJMxmhX_JabDQRHmV3SOE_wrs
1174,2022/2/24 23:01,"0150deb7d0,0218",Ud9f189e6e4cbc8628e6994a3adc90939,滷底撈-澎湖店,23.56499,119.58107,295600,55,0,風,ChIJw0K1XelabDQRR05-D8tl7SM
1253,2022/2/25 11:53,"0150deb7d0,0079",Ud9f189e6e4cbc8628e6994a3adc90939,冰吧豆花店 打卡送配料~~,23.56673,119.56773,296476,55,0,陰風 ,ChIJKz6MTflbbDQRXNJ953n65mQ
1274,2022/2/25 16:09,"0150deb7d0,0403",Ud9f189e6e4cbc8628e6994a3adc90939,恐龍炭烤饅頭,23.56671,119.56477,297454,55,0,陰風 ,ChIJca6AcixbbDQRAO4FYiTPnEQ
4301,2022/4/18 12:57,"0150deb7d0,0116",Ud9f189e6e4cbc8628e6994a3adc90939,金醬府,23.56734,119.5729,452743,55,0,陰風,ChIJkaAQgG5bbDQR-ckXlZIXzTQ
4303,2022/4/18 15:00,"0150deb7d0,0050",Ud9f189e6e4cbc8628e6994a3adc90939,澎湖海洋地質公園中心,23.56633846,119.5787976,453071,55,0,陰風,ChIJAUljgLlbbDQRwuvTXGBzHnE
4344,2022/4/19 13:20,"0150deb7d0,0065",Ud9f189e6e4cbc8628e6994a3adc90939,啤酒海時尚熱炒,23.56523,119.56644,455852,55,0,雨風,ChIJ6Rn3hFUjaDQRQkCWHysb5cw
4434,2022/4/20 13:49,"0150deb7d0,0236",Ud9f189e6e4cbc8628e6994a3adc90939,菊楓食堂日式料理,23.57538,119.58058,458566,55,0,陰多雲,ChIJ2_jZgd1abDQRFayuSHiw_Nc
1047,2022/2/22 16:36,"0150deb7d0,0403",Uc90a03dc5c8efd275ba07ee176e23375,恐龍炭烤饅頭,23.56671,119.56477,288056,73,1,雨,ChIJca6AcixbbDQRAO4FYiTPnEQ
1062,2022/2/22 18:32,"0150deb7d0,0308",Uc90a03dc5c8efd275ba07ee176e23375,沐一日式豬排專賣店,23.57319,119.57316,288635,73,1,雨,ChIJH6_areIfaDQRxbw1ItW8NYE
1119,2022/2/23 16:41,"0150deb7d0,0291",Uc90a03dc5c8efd275ba07ee176e23375,天津蔥抓餅,23.57431,119.5792,291321,73,1,中雨風,ChIJQzBnhYWpQjQR7Vr5CPt4quk
1122,2022/2/23 16:54,"0150deb7d0,0338",Uc90a03dc5c8efd275ba07ee176e23375,曾記滿福堂擔仔麵,23.57406,119.57323,291378,73,1,中雨風,ChIJZU7sJiRbbDQR6ns6US0hX7g
1127,2022/2/23 17:03,"0150deb7d0,0197",Uc90a03dc5c8efd275ba07ee176e23375,嚐香聚牛肉麵,23.57425,119.57308,291420,73,1,中雨風,ChIJN2ZU9eVabDQR_34Xh_UFy-8
1177,2022/2/24 11:58,"0150deb7d0,0210",Uc90a03dc5c8efd275ba07ee176e23375,蔬脆蛋餅,23.56632,119.56511,293194,73,1,風,ChIJm-8sPfNabDQR3Gp44W0AwU4
446,2022/2/15 13:37,"0150deb7d0,0249",U6368c5aa5f76abbfc284f5224f2ae22a,秋喜肉蛋吐司,23.56867,119.5675,264869,67,1,陰風 ,ChIJLQsxp-NbbDQRbQjjES_Y3Xo
448,2022/2/15 13:39,"0150deb7d0,0278",U6368c5aa5f76abbfc284f5224f2ae22a,源羊肉店,23.57158,119.57413,264882,67,1,陰風 ,ChIJTdDwRywMbjQR14Vnj6mY8ow
543,2022/2/16 13:45,"0150deb7d0,0226",U6368c5aa5f76abbfc284f5224f2ae22a,津旺素食,23.56742,119.5681,267821,67,1,陰風 ,ChIJ9xPjYvJabDQR9M88sVfluaQ
571,2022/2/16 14:08,"0150deb7d0,0024",U6368c5aa5f76abbfc284f5224f2ae22a,澎漁宴餐廳,23.56625705,119.5690162,267933,67,1,陰風 ,ChIJV0nO1f1bbDQRoPL9XWhn6vU
623,2022/2/17 10:30,"0150deb7d0,0040",U6368c5aa5f76abbfc284f5224f2ae22a,自由塔,23.56993769,119.5713121,270460,67,1,風,ChIJlzQ-Y-5abDQResCI8cBJOb8
2179,2022/3/10 17:27,"0150deb7d0,0050",U3bef99915c174d00c8771be3302bef5d,澎湖海洋地質公園中心,23.56633846,119.5787976,339326,36,0,晴,ChIJAUljgLlbbDQRwuvTXGBzHnE
2189,2022/3/10 19:23,"0150deb7d0,0290",U3bef99915c174d00c8771be3302bef5d,老餅新料蔥油餅,23.57605,119.57486,339723,36,0,晴,ChIJYVRTJhVbbDQR7tGzlovPn_A
2211,2022/3/11 10:42,"0150deb7d0,0384",U3bef99915c174d00c8771be3302bef5d,葉子的店,23.57429,119.57824,341153,36,0,晴,ChIJY-fP1uNbbDQRoHrOePIL5aM
2280,2022/3/12 12:23,"0150deb7d0,0258",U3bef99915c174d00c8771be3302bef5d,曬食光餐飲店,23.56639,119.56396,344782,36,0,晴,ChIJsV99QwQiaDQRQrUVAiWewe8
2283,2022/3/12 12:38,"0150deb7d0,0305",U3bef99915c174d00c8771be3302bef5d,桃太郎日式料理,23.56613,119.56468,344830,36,0,晴,ChIJv9NX1XU9aTQRIvMYrBHdhc0
450,2022/2/15 13:48,"0150deb7d0,0217",U7a89fa99cb80c8496590501db322b56c,趴兔PART TWO茶坊,23.56289,119.58495,264912,49,0,陰風 ,ChIJdScRj41bbDQRvGg_sRo4fdc
566,2022/2/16 12:52,"0150deb7d0,0334",U7a89fa99cb80c8496590501db322b56c,小熊與樹小熊燒馬公店,23.56762,119.58277,267629,49,0,陰風 ,ChIJIZeoF4tbbDQRArpaCIcKdRI
586,2022/2/16 16:34,"0150deb7d0,0221",U7a89fa99cb80c8496590501db322b56c,回鄉餐館-(義大利麵 濃湯 炒飯 便當),23.56406,119.58901,268564,49,0,陰風 ,ChIJ50sFewZbbDQRW0anIIkS-YM
632,2022/2/17 12:21,"0150deb7d0,0165",U7a89fa99cb80c8496590501db322b56c,熊掌心健康果茶,23.56358,119.56499,270832,49,0,風,ChIJKds1DudbbDQRi9we1y9h3yk
