no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,天氣
2751,2022/3/19 17:56,"0150deb7d0,0168",U16f92b0df914c40495c60e84bf79adba,小正傢私店,23.56467,119.56484,367192,40,0,多雲風
3990,2022/4/10 08:42,"0150deb7d0,0386",U16f92b0df914c40495c60e84bf79adba,四季肉圓專賣店,23.57334,119.57233,429529,40,0,多雲
4024,2022/4/11 08:10,"0150deb7d0,0336",U16f92b0df914c40495c60e84bf79adba,品川元麻辣火鍋,23.56319,119.59046,432368,40,0,多雲
4027,2022/4/11 08:28,"0150deb7d0,0215",U16f92b0df914c40495c60e84bf79adba,阿力香雞排-文山店,23.56285,119.58517,432394,40,0,多雲
937,2022/2/21 11:17,"0150deb7d0,0177",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,夏天茶飲,23.57184,119.57075,283439,58,1,雨
972,2022/2/21 17:48,"0150deb7d0,0024",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,澎漁宴餐廳,23.56625705,119.5690162,284995,58,1,雨
985,2022/2/21 18:58,"0150deb7d0,0040",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,自由塔,23.56993769,119.5713121,285321,58,1,雨
987,2022/2/21 19:14,"0150deb7d0,0196",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,馬路益燒肉飯,23.56596,119.56523,285369,58,1,雨
1077,2022/2/22 20:59,"0150deb7d0,0066",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,北海道海產專賣店,23.56637,119.56886,289158,58,1,雨
1350,2022/2/27 22:55,"0150deb7d0,0236",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,菊楓食堂日式料理,23.57538,119.58058,305296,58,1,陰風 
1385,2022/2/27 18:25,"0150deb7d0,0324",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,榕徽嬤?吃吃喝喝,23.56909,119.59924,304333,58,1,陰風 
1471,2022/2/28 18:48,"0150deb7d0,0175",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,307785,58,1,晴多雲
1473,2022/2/28 18:55,"0150deb7d0,0395",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,大口香雞排,23.56719,119.56471,307816,58,1,晴多雲
1474,2022/2/28 18:57,"0150deb7d0,0288",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,皮克吐司,23.56714,119.56467,307822,58,1,晴多雲
1489,2022/2/28 20:36,"0150deb7d0,0292",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,Mr.大雞,23.57226,119.57626,308240,58,1,晴多雲
1541,2022/2/3 19:40,"0150deb7d0,0072",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,日香美食坊歡迎您～,23.57466,119.5768,231996,58,1,風轉小雨
1592,2022/2/4 16:10,"0150deb7d0,0281",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,霸味薑母鴨,23.5705,119.57567,234055,58,1,風
1595,2022/2/4 16:31,"0150deb7d0,0298",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,小蘑菇義大利麵,23.56716,119.56465,234123,58,1,風
1598,2022/2/4 16:42,"0150deb7d0,0144",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,小小間,23.57003,119.56901,234162,58,1,風
1599,2022/2/4 16:44,"0150deb7d0,0160",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,海玩子雞蛋糕,23.56997,119.56894,234169,58,1,風
1859,2022/2/7 09:14,"0150deb7d0,0371",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,阿鳳牛肉河粉,23.57142,119.57239,240370,58,1,雨
1911,2022/2/8 17:54,"0150deb7d0,0250",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,最愛小米甜甜圈,23.58469,119.66216,245111,58,1,風
693,2022/2/18 00:16,"0150deb7d0,0016",U0d5a39ecd31b0b2b63f941e2d03cb796,海島海產大賣場,23.56576883,119.5655136,273383,67,0,陰雨
746,2022/2/18 09:19,"0150deb7d0,0395",U0d5a39ecd31b0b2b63f941e2d03cb796,大口香雞排,23.56719,119.56471,273978,67,0,陰雨
747,2022/2/18 09:37,"0150deb7d0,0244",U0d5a39ecd31b0b2b63f941e2d03cb796,三ㄚ店&潮style,23.56705,119.56538,274025,67,0,陰雨
748,2022/2/18 09:45,"0150deb7d0,0160",U0d5a39ecd31b0b2b63f941e2d03cb796,海玩子雞蛋糕,23.56997,119.56894,274044,67,0,陰雨
755,2022/2/19 22:02,"0150deb7d0,0360",U0d5a39ecd31b0b2b63f941e2d03cb796,芳遠水果行,23.56751,119.56721,279918,67,0,風轉小雨
760,2022/2/19 23:44,"0150deb7d0,0252",U0d5a39ecd31b0b2b63f941e2d03cb796,飛特潛艦Victor Johni’R,23.56737,119.56745,280103,67,0,風轉小雨
4075,2022/4/12 19:29,"0150deb7d0,0297",U0d5a39ecd31b0b2b63f941e2d03cb796,?男子漢鐵板料理,23.57041,119.57188,437439,67,0,晴
4091,2022/4/13 13:06,"0150deb7d0,0231",U0d5a39ecd31b0b2b63f941e2d03cb796,青泉豆花,23.57472,119.57821,439082,67,0,晴
4485,2022/4/21 18:33,"0150deb7d0,0220",U0d5a39ecd31b0b2b63f941e2d03cb796,184巷餐酒館,23.57525,119.57606,461887,67,0,晴
4522,2022/4/22 18:00,"0150deb7d0,0076",U0d5a39ecd31b0b2b63f941e2d03cb796,雲泰小吃館,23.52277,119.59982,464179,67,0,晴雨
809,2022/2/2 10:49,"0150deb7d0,0040",U58001d9adfe8f94262b41bcaf841093b,自由塔,23.56993769,119.5713121,228139,73,0,陰風 
1530,2022/2/3 15:52,"0150deb7d0,0086",U58001d9adfe8f94262b41bcaf841093b,憲作食品商行喜歡義式霜淇淋的你,23.5664,119.56782,231339,73,0,風轉小雨
1668,2022/2/5 19:12,"0150deb7d0,0372",U58001d9adfe8f94262b41bcaf841093b,ㄇㄇ的臭豆腐,23.55258,119.61097,237039,73,0,陰風 
1705,2022/2/6 02:11,"0150deb7d0,0009",U58001d9adfe8f94262b41bcaf841093b,海口峰海產行,23.56315044,119.5831612,237746,73,0,風
1715,2022/2/6 15:33,"0150deb7d0,0329",U58001d9adfe8f94262b41bcaf841093b,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,238885,73,0,風
1861,2022/2/8 13:02,"0150deb7d0,0134",U58001d9adfe8f94262b41bcaf841093b,呷飽飽燒烤屋,23.57558,119.58025,243929,73,0,風
2026,2022/2/9 21:21,"0150deb7d0,0112",U58001d9adfe8f94262b41bcaf841093b,劉正港檸檬汁-中華店,23.57204,119.57574,247766,73,0,風
2027,2022/2/9 21:24,"0150deb7d0,0207",U58001d9adfe8f94262b41bcaf841093b,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,247768,73,0,風
4325,2022/4/18 18:25,"0150deb7d0,0165",U58001d9adfe8f94262b41bcaf841093b,熊掌心健康果茶,23.56358,119.56499,453946,73,0,陰風
4382,2022/4/19 07:04,"0150deb7d0,0309",U58001d9adfe8f94262b41bcaf841093b,澎湖樂晨早午餐,23.57313,119.57701,455150,73,0,雨風
3029,2022/3/23 13:48,"0150deb7d0,0173",Uc6ca45181f84f93c8037448e8d1945cd,綺樂Chi Love 仙人掌彩虹霜淇淋,23.56548,119.56532,378073,59,0,小雨風
3078,2022/3/24 23:28,"0150deb7d0,0024",Uc6ca45181f84f93c8037448e8d1945cd,澎漁宴餐廳,23.56625705,119.5690162,382682,59,0,小雨陰
3182,2022/3/26 19:37,"0150deb7d0,0197",Uc6ca45181f84f93c8037448e8d1945cd,嚐香聚牛肉麵,23.57425,119.57308,388759,59,0,多雲轉小雨
3226,2022/3/27 18:20,"0150deb7d0,0262",Uc6ca45181f84f93c8037448e8d1945cd,登峰藝品行(登峰特產行),23.56505,119.56522,391357,59,0,陰雨
432,2022/2/14 08:18,"0150deb7d0,0144",U3c29e39a18fb2239afcf1a9ce5da3d09,小小間,23.57003,119.56901,260902,80,0,陰風 
522,2022/2/15 07:29,"0150deb7d0,0134",U3c29e39a18fb2239afcf1a9ce5da3d09,呷飽飽燒烤屋,23.57558,119.58025,264017,80,0,陰風 
1440,2022/2/28 12:00,"0150deb7d0,0308",U3c29e39a18fb2239afcf1a9ce5da3d09,沐一日式豬排專賣店,23.57319,119.57316,306075,80,0,晴多雲
2100,2022/3/1 18:12,"0150deb7d0,0339",U3c29e39a18fb2239afcf1a9ce5da3d09,秀秀蔥大餅,23.5764,119.57411,311029,80,0,多雲陰
1161,2022/2/24 13:21,"0150deb7d0,0255",U1533b24c18a3e1f1479bdb79969431d9,巴適麻辣鍋,23.57185,119.58141,293469,67,1,風
1267,2022/2/25 15:13,"0150deb7d0,0307",U1533b24c18a3e1f1479bdb79969431d9,世軒西點麵包????,23.57275,119.57417,297225,67,1,陰風 
1275,2022/2/25 04:36,"0150deb7d0,0144",U1533b24c18a3e1f1479bdb79969431d9,小小間,23.57003,119.56901,295800,67,1,陰風 
1368,2022/2/27 14:56,"0150deb7d0,0227",U1533b24c18a3e1f1479bdb79969431d9,小林包子饅頭店,23.5685,119.56895,303597,67,1,陰風 
1455,2022/2/28 15:54,"0150deb7d0,0077",U1533b24c18a3e1f1479bdb79969431d9,海島咖啡館,23.56851,119.58306,306971,67,1,晴多雲
4169,2022/4/15 10:50,"0150deb7d0,0068",U8eb2e7fe550a6d1e4a1519e405d3c917,弗洛伊得飲酒店,23.56755,119.56811,444654,18,1,風
4232,2022/4/16 16:45,"0150deb7d0,0072",U8eb2e7fe550a6d1e4a1519e405d3c917,日香美食坊歡迎您～,23.57466,119.5768,448303,18,1,風
124,2022/2/10 00:19,"0150deb7d0,0386",U317cec3c5157e6f8bb09cfb3a514f5cc,四季肉圓專賣店,23.57334,119.57233,248002,64,0,陰風 
137,2022/2/10 14:31,"0150deb7d0,0021",U317cec3c5157e6f8bb09cfb3a514f5cc,希望天地珊瑚珍珠,23.56519326,119.5675032,248940,64,0,陰風 
142,2022/2/10 14:57,"0150deb7d0,0360",U317cec3c5157e6f8bb09cfb3a514f5cc,芳遠水果行,23.56751,119.56721,249083,64,0,陰風 
143,2022/2/10 15:01,"0150deb7d0,0240",U317cec3c5157e6f8bb09cfb3a514f5cc,文化路蔥油餅,23.56825,119.56753,249100,64,0,陰風 
144,2022/2/10 15:08,"0150deb7d0,0207",U317cec3c5157e6f8bb09cfb3a514f5cc,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,249124,64,0,陰風 
180,2022/2/10 19:38,"0150deb7d0,0249",U317cec3c5157e6f8bb09cfb3a514f5cc,秋喜肉蛋吐司,23.56867,119.5675,250047,64,0,陰風 
181,2022/2/10 19:40,"0150deb7d0,0144",U317cec3c5157e6f8bb09cfb3a514f5cc,小小間,23.57003,119.56901,250050,64,0,陰風 
182,2022/2/10 19:44,"0150deb7d0,0072",U317cec3c5157e6f8bb09cfb3a514f5cc,日香美食坊歡迎您～,23.57466,119.5768,250077,64,0,陰風 
203,2022/2/11 13:10,"0150deb7d0,0040",U317cec3c5157e6f8bb09cfb3a514f5cc,自由塔,23.56993769,119.5713121,251959,64,0,陰風 
225,2022/2/11 12:33,"0150deb7d0,0048",U317cec3c5157e6f8bb09cfb3a514f5cc,小門鯨魚洞站,23.65265094,119.5174826,251808,64,0,陰風 
1944,2022/2/8 21:25,"0150deb7d0,0079",U317cec3c5157e6f8bb09cfb3a514f5cc,冰吧豆花店 打卡送配料~~,23.56673,119.56773,245685,64,0,風
1945,2022/2/8 21:26,"0150deb7d0,0246",U317cec3c5157e6f8bb09cfb3a514f5cc,達咖啡,23.56737,119.56745,245691,64,0,風
2015,2022/2/9 08:37,"0150deb7d0,0134",U317cec3c5157e6f8bb09cfb3a514f5cc,呷飽飽燒烤屋,23.57558,119.58025,246010,64,0,風
2362,2022/3/13 19:55,"0150deb7d0,0175",U317cec3c5157e6f8bb09cfb3a514f5cc,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,349117,64,0,晴
2422,2022/3/14 19:39,"0150deb7d0,0258",U317cec3c5157e6f8bb09cfb3a514f5cc,曬食光餐飲店,23.56639,119.56396,351918,64,0,陰
4385,2022/4/19 08:16,"0150deb7d0,0359",U317cec3c5157e6f8bb09cfb3a514f5cc,Bella調酒專賣店,23.56855353,119.567152,455224,64,0,雨風
4461,2022/4/20 19:49,"0150deb7d0,0116",U317cec3c5157e6f8bb09cfb3a514f5cc,金醬府,23.56734,119.5729,459728,64,0,陰多雲
2284,2022/3/12 12:39,"0150deb7d0,0024",U1b7003bab2aaf402832cd6851b431769,澎漁宴餐廳,23.56625705,119.5690162,344839,49,1,晴
2285,2022/3/12 12:41,"0150deb7d0,0017",U1b7003bab2aaf402832cd6851b431769,清香活海鮮,23.56667473,119.5691316,344846,49,1,晴
2358,2022/3/13 18:43,"0150deb7d0,0014",U1b7003bab2aaf402832cd6851b431769,六六八餐廳,23.57152446,119.5676683,348818,49,1,晴
3618,2022/3/5 16:32,"0150deb7d0,0048",U863b8cae579201d96dab41d5e002a5a3,小門鯨魚洞站,23.65265094,119.5174826,323032,31,0,陰風
3667,2022/3/6 16:01,"0150deb7d0,0217",U863b8cae579201d96dab41d5e002a5a3,趴兔PART TWO茶坊,23.56289,119.58495,325730,31,0,風   雨
3668,2022/3/6 16:13,"0150deb7d0,0412",U863b8cae579201d96dab41d5e002a5a3,四方早餐店,23.56619,119.58263,325771,31,0,風   雨
3669,2022/3/6 16:23,"0150deb7d0,0179",U863b8cae579201d96dab41d5e002a5a3,祥馨鮮鮮果舖,23.57336,119.57256,325807,31,0,風   雨
4892,2022/4/5 16:57,"0150deb7d0,0371",U6700554e734c9f720440c275b8b13b96,阿鳳牛肉河粉,23.57142,119.57239,416734,16,1,陰多雲
4947,2022/4/6 16:02,"0150deb7d0,0207",U6700554e734c9f720440c275b8b13b96,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,419395,16,1,風
5050,2022/4/8 07:30,"0150deb7d0,0298",U62e621513454187f94290692689f56ad,小蘑菇義大利麵,23.56716,119.56465,423472,24,0,晴
5052,2022/4/8 07:51,"0150deb7d0,0359",U62e621513454187f94290692689f56ad,Bella調酒專賣店,23.56855353,119.567152,423497,24,0,晴
5100,2022/4/9 20:38,"0150deb7d0,0401",U62e621513454187f94290692689f56ad,駱哥港式點心,23.56584,119.56856,428718,24,0,晴
2492,2022/3/15 19:30,"0150deb7d0,0339",Ucdba1bf15e1eb63bbe2a6bc301d768d0,秀秀蔥大餅,23.5764,119.57411,355094,62,1,多雲
2521,2022/3/16 22:11,"0150deb7d0,0134",Ucdba1bf15e1eb63bbe2a6bc301d768d0,呷飽飽燒烤屋,23.57558,119.58025,358900,62,1,陰
3266,2022/3/28 17:23,"0150deb7d0,0150",Ucdba1bf15e1eb63bbe2a6bc301d768d0,好享吃小火鍋,23.56745,119.56641,393916,62,1,雨
3334,2022/3/29 19:19,"0150deb7d0,0156",Ucdba1bf15e1eb63bbe2a6bc301d768d0,家味健康素食,23.56603,119.56498,397048,62,1,陰風
3731,2022/3/7 15:10,"0150deb7d0,0123",Ucdba1bf15e1eb63bbe2a6bc301d768d0,源利軒黑糖糕老店,23.56572,119.56496,328598,62,1,陰風
3780,2022/3/8 00:33,"0150deb7d0,0233",Ucdba1bf15e1eb63bbe2a6bc301d768d0,WENWENSUB,23.57574,119.56856,330298,62,1,風多雲
4387,2022/4/19 21:07,"0150deb7d0,0159",Ucdba1bf15e1eb63bbe2a6bc301d768d0,澎湖甘草芭樂,23.56577,119.56529,457125,62,1,雨風
4460,2022/4/20 19:48,"0150deb7d0,0179",Ucdba1bf15e1eb63bbe2a6bc301d768d0,祥馨鮮鮮果舖,23.57336,119.57256,459717,62,1,陰多雲
906,2022/2/20 17:36,"0150deb7d0,0295",U7676d997af8f09860c497735040717d5,獨領風騷,23.56815,119.56751,281983,24,0,風轉小雨
907,2022/2/20 17:37,"0150deb7d0,0240",U7676d997af8f09860c497735040717d5,文化路蔥油餅,23.56825,119.56753,281985,24,0,風轉小雨
956,2022/2/21 16:26,"0150deb7d0,0432",U7676d997af8f09860c497735040717d5,多那之澎湖店,23.56483,119.56537,284581,24,0,雨
4124,2022/4/13 20:45,"0150deb7d0,0370",U7676d997af8f09860c497735040717d5,美味登場飯麵館,23.56881,119.57029,440849,24,0,晴
4139,2022/4/14 12:48,"0150deb7d0,0336",U7676d997af8f09860c497735040717d5,品川元麻辣火鍋,23.56319,119.59046,442215,24,0,雨風
1884,2022/2/8 14:43,"0150deb7d0,0338",U818fd6da9a2a8e5b11cf9562a14849d0,曾記滿福堂擔仔麵,23.57406,119.57323,244328,62,0,風
2025,2022/2/9 21:21,"0150deb7d0,0171",U818fd6da9a2a8e5b11cf9562a14849d0,蒙地卡羅咖啡館,23.56733,119.56683,247764,62,0,風
101,2022/2/10 13:17,"0150deb7d0,0036",U1f2baccfa1b2d88b8f29575722fb2121,岩質咖啡,23.56646069,119.5790493,248711,42,0,陰風 
102,2022/2/10 13:17,"0150deb7d0,0050",U1f2baccfa1b2d88b8f29575722fb2121,澎湖海洋地質公園中心,23.56633846,119.5787976,248712,42,0,陰風 
258,2022/2/11 18:50,"0150deb7d0,0024",U1f2baccfa1b2d88b8f29575722fb2121,澎漁宴餐廳,23.56625705,119.5690162,253345,42,0,陰風 
3572,2022/3/4 17:17,"0150deb7d0,0090",Udc2acab56b09deeed9ec2d76a1fd169e,家竹黑砂糖冷熱飲店,23.56518,119.58183,320372,80,1,晴
3574,2022/3/4 17:37,"0150deb7d0,0397",Udc2acab56b09deeed9ec2d76a1fd169e,夯小管燒x雞蛋糕,23.56476,119.58144,320454,80,1,晴
3608,2022/3/5 12:17,"0150deb7d0,0153",Udc2acab56b09deeed9ec2d76a1fd169e,找食間,23.57331,119.56867,322225,80,1,陰風
4031,2022/4/11 21:54,"0150deb7d0,0142",Udc2acab56b09deeed9ec2d76a1fd169e,High wave pizza,23.56532,119.56466,434910,80,1,多雲
4042,2022/4/12 11:44,"0150deb7d0,0149",Udc2acab56b09deeed9ec2d76a1fd169e,拾捌度C鮮果茶飲站,23.57436,119.5795,435868,80,1,晴
4688,2022/4/27 19:36,"0150deb7d0,0116",Udc2acab56b09deeed9ec2d76a1fd169e,金醬府,23.56734,119.5729,477287,80,1,晴多雲
4722,2022/4/28 19:14,"0150deb7d0,0412",Udc2acab56b09deeed9ec2d76a1fd169e,四方早餐店,23.56619,119.58263,479534,80,1,陰晴
4923,2022/4/6 23:12,"0150deb7d0,0338",Udc2acab56b09deeed9ec2d76a1fd169e,曾記滿福堂擔仔麵,23.57406,119.57323,420644,80,1,風
5004,2022/4/7 18:47,"0150deb7d0,0221",Udc2acab56b09deeed9ec2d76a1fd169e,回鄉餐館-(義大利麵 濃湯 炒飯 便當),23.56406,119.58901,422610,80,1,陰風
3971,2022/4/10 17:23,"0150deb7d0,0297",U38c7bdd36eb764384f5a6071a362651f,?男子漢鐵板料理,23.57041,119.57188,431011,25,0,多雲
3987,2022/4/10 20:22,"0150deb7d0,0339",U38c7bdd36eb764384f5a6071a362651f,秀秀蔥大餅,23.5764,119.57411,431633,25,0,多雲
3997,2022/4/11 01:05,"0150deb7d0,0338",U38c7bdd36eb764384f5a6071a362651f,曾記滿福堂擔仔麵,23.57406,119.57323,432146,25,0,多雲
4004,2022/4/11 00:59,"0150deb7d0,0103",U38c7bdd36eb764384f5a6071a362651f,聚鮮食堂,23.5645,119.56516,432134,25,0,多雲
387,2022/2/14 23:07,"0150deb7d0,0093",Ub248b130077deabae7f715d3c6eac3f9,許媽媽小吃館,23.56888,119.56856,263669,48,1,陰風 
471,2022/2/15 00:23,"0150deb7d0,0397",Ub248b130077deabae7f715d3c6eac3f9,夯小管燒x雞蛋糕,23.56476,119.58144,263772,48,1,陰風 
1270,2022/2/25 15:33,"0150deb7d0,0222",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,O le pain 喔！麵包,23.57111,119.57982,297310,40,0,陰風 
1299,2022/2/26 10:19,"0150deb7d0,0096",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,澎南海產行,23.5714,119.57172,299699,40,0,多雲晴
1300,2022/2/26 10:21,"0150deb7d0,0381",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,信誼海產,23.571,119.57133,299704,40,0,多雲晴
1314,2022/2/26 16:40,"0150deb7d0,0339",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,秀秀蔥大餅,23.5764,119.57411,301023,40,0,多雲晴
1776,2022/2/7 11:24,"0150deb7d0,0425",Ubaf58e50e1a0f6cf64739737b2398b0f,有間小廚,23.56186,119.58127,240601,20,1,雨
1883,2022/2/8 14:41,"0150deb7d0,0426",Ubaf58e50e1a0f6cf64739737b2398b0f,秋禾家和風創意料理,23.56187,119.58124,244314,20,1,風
3366,2022/3/3 11:18,"0150deb7d0,0072",Ua5d612b844f3c29bede3e6e5528797f5,日香美食坊歡迎您～,23.57466,119.5768,315845,59,0,晴
3396,2022/3/3 16:31,"0150deb7d0,0236",Ua5d612b844f3c29bede3e6e5528797f5,菊楓食堂日式料理,23.57538,119.58058,317066,59,0,晴
3551,2022/3/4 14:32,"0150deb7d0,0091",Ua5d612b844f3c29bede3e6e5528797f5,玻玻飲食店,23.57971,119.57924,319735,59,0,晴
3553,2022/3/4 14:38,"0150deb7d0,0334",Ua5d612b844f3c29bede3e6e5528797f5,小熊與樹小熊燒馬公店,23.56762,119.58277,319758,59,0,晴
2407,2022/3/14 16:46,"0150deb7d0,0370",U767c929cfdef8c63d2553acdc718a526,美味登場飯麵館,23.56881,119.57029,351339,46,0,陰
2485,2022/3/15 17:43,"0150deb7d0,0144",U767c929cfdef8c63d2553acdc718a526,小小間,23.57003,119.56901,354690,46,0,多雲
3275,2022/3/28 19:21,"0150deb7d0,0201",U767c929cfdef8c63d2553acdc718a526,福鴨鴨肉大王,23.56578,119.56406,394226,46,0,雨
3313,2022/3/29 17:29,"0150deb7d0,0090",U767c929cfdef8c63d2553acdc718a526,家竹黑砂糖冷熱飲店,23.56518,119.58183,396663,46,0,陰風
141,2022/2/10 14:51,"0150deb7d0,0250",U50284f2fcdf83512e9e4968a77e2a672,最愛小米甜甜圈,23.58469,119.66216,249048,55,1,陰風 
246,2022/2/11 17:35,"0150deb7d0,0216",U50284f2fcdf83512e9e4968a77e2a672,新巴適經典麻辣鍋,23.57179,119.57882,253004,55,1,陰風 
1090,2022/2/23 13:13,"0150deb7d0,0196",U50284f2fcdf83512e9e4968a77e2a672,馬路益燒肉飯,23.56596,119.56523,290556,55,1,中雨風
1109,2022/2/23 14:10,"0150deb7d0,0024",U50284f2fcdf83512e9e4968a77e2a672,澎漁宴餐廳,23.56625705,119.5690162,290777,55,1,中雨風
1217,2022/2/24 19:00,"0150deb7d0,0150",U50284f2fcdf83512e9e4968a77e2a672,好享吃小火鍋,23.56745,119.56641,294830,55,1,風
