place_id,count
ChIJNYUKJ8JabDQRiiRUWUOsJlM,23
ChIJo0lSOWlFbDQRJlTgv1wB8Uw,23
ChIJtTuEYKlbbDQRqiQ8EFcGZwA,23
ChIJfRyEck1bbDQRW1v231YeUP8,23
ChIJQZrILfNabDQR9_o0RXV5yGo,22
ChIJ0bCS0oxabDQR0EkKVFJ_O3Y,22
ChIJeSg-_DKUbjQRRjZPr8RpjNI,22
查無結果,22
ChIJk0EjopRbbDQRtCnEU1zRkvE,22
ChIJsf69pgNbbDQR0dEMFKxMPxY,22
ChIJ-3dQyOdabDQRT-hUoAJpe1w,21
ChIJP4xi7eJbbDQR_LLrmetQRMQ,21
ChIJO-k-Wr1bbDQRkJ45wWsxJ_A,21
ChIJE6e3pxVbbDQRY7bt3eFrHfA,21
ChIJQR8B_ydbbDQRYi1cKB5gFug,20
ChIJw0K1XelabDQRR05-D8tl7SM,20
ChIJ4xYYPAlbbDQRA0iQ6rdYDTg,20
ChIJ50sFewZbbDQRW0anIIkS-YM,20
ChIJjdfJX-9bbDQRpFljTPY-BPc,19
ChIJrzw1bfNabDQRaNyaJCa6tGA,19
ChIJ913TnM1bbDQRg2WOanFw-Vs,18
ChIJfy1XEvNabDQRLPp4rFjEXdQ,18
ChIJicxsKfNabDQR3bdCErfjbaU,18
ChIJ881PIbpbbDQRI9Q3-9sqGWQ,18
ChIJmc-gsV9bbDQRjslRsRk4OLE,18
ChIJubLqyOBZbDQR3lTEi3Sv1VM,18
ChIJP92SJOlabDQRJ83o7mpehuA,17
ChIJI_0vfe1abDQRRaggHe2FpWQ,17
ChIJsw_5voxabDQRFPftR6TSHbk,17
ChIJmYYswpNbbDQRTfNcBP0hH2w,17
ChIJzdsuPL5bbDQRIAxOSvwLpO0,17
ChIJv645RSJbbDQRv6Sk7PDRpeU,17
ChIJiV8LuehabDQR6KKBeFWg0As,17
ChIJE4pb6z5bbDQR5G6BkO2_eSE,17
ChIJYVRTJhVbbDQR7tGzlovPn_A,17
ChIJca6AcixbbDQRAO4FYiTPnEQ,16
ChIJZxsnqYpbbDQR8C1qqa45Ajo,16
ChIJKds1DudbbDQRi9we1y9h3yk,16
ChIJ65MD9e1abDQRgBYmeHF2G7o,16
ChIJXZHu7-5abDQRThzHDpVspDg,16
ChIJpVXXBaBbbDQR9NbO3ifqXR8,16
ChIJr0th5FtbbDQR92lvR-hT1es,15
ChIJn0klwq9bbDQRcXvtev32KVg,15
ChIJlTmvMGFbbDQRGiEITH7mwmo,15
ChIJ3YFee_JabDQRdTZgl44Xp-8,15
ChIJVSOnC0xbbDQRlKd8jp7kI-E,14
ChIJS9t7LetbbDQRzFSboaaF3N4,14
ChIJ1UGB9O5abDQRK6G5GcPmTEQ,14
ChIJXeQ0NtZbbDQRvYutJi9-Cyk,14
ChIJz83xzeVabDQROGKi9GXiiFQ,13
ChIJMaDpgO1RbDQR8O-faQh24-k,12
ChIJP6GyQvNabDQRIepWzIUEO-A,12
ChIJm-8sPfNabDQR3Gp44W0AwU4,12
ChIJw4GYlIxabDQRflOX6CeyjrA,12
ChIJKV5DcQ1bbDQRdxjFjIxHKEs,12
ChIJC-sIK_BabDQRbXkDCZgukU0,12
ChIJ9QBaz7NbbDQRjAWCAQOZ3z8,12
ChIJzSbbCfBabDQRDQ0Pm_5kOQ4,12
ChIJsSt8N9ZbbDQROqPHbWQzlgI,12
ChIJdeNbp0RdbDQR8apcy4_-L1E,12
ChIJAe1sFI1abDQR84-U-PKWtU0,11
ChIJBzOOEY1abDQR0_gQ3nAEJ7U,11
ChIJIZeoF4tbbDQRArpaCIcKdRI,11
ChIJcRHm0YxabDQRowc9s70wWZ0,11
ChIJ0Syx1uREbDQRqEicAa2YcVE,11
ChIJF9RFJOhabDQRx8CemXDka7U,11
ChIJIXp_sKdbbDQRSCtuMHZGHJc,11
ChIJb2-h3-VabDQR4qu44KW2AtA,10
ChIJ2cPHGUpbbDQRVpSpFauCZVk,10
ChIJs7M8K6VbbDQREYWW40BRIc4,10
ChIJ_yD4I-habDQRDevywu3aax8,10
ChIJ-0wnbL5abDQRmt8CzhaZVh4,10
ChIJdScRj41bbDQRvGg_sRo4fdc,10
ChIJk_h1SSNbbDQRpX7P_cwyx3c,10
ChIJtYfwZsdbbDQRYdENbLrShBc,10
ChIJ9W2zcRtcbDQRVinznJ9L07I,10
ChIJfYyqojxbbDQRGGxepd_BnfY,10
ChIJKz6MTflbbDQRXNJ953n65mQ,10
ChIJ3TEhVKxbbDQRsyo0iIjtvL0,10
ChIJFytPr39ZbDQR3gmLzo05ARE,9
ChIJWUiERLBcbDQRrSn6m8brtMA,9
ChIJfZ3msfJabDQRiTm3_IMadE8,9
ChIJ9xPjYvJabDQR9M88sVfluaQ,9
ChIJK8LlxoxabDQR9PAJ71QRSMQ,9
ChIJX2Wmx4BbbDQR8yRLzfU9rVg,9
ChIJj9YuuuhabDQRA5eJpq9e2Sc,9
ChIJOe5VcvJabDQRFDYDZcsFtZk,9
ChIJgQ9hUuRabDQRj5lwxDjyAvA,9
ChIJdV-6r_JabDQRbZXMkPfruRU,9
ChIJ9Xhve_NabDQRVvJejLXDZjU,9
ChIJ30AySfNabDQRBC4aFsvnuDk,8
ChIJRT2Q0oxabDQReDmvcmOvk40,8
ChIJSzQmBNJabDQRuT4b2aLluSY,8
ChIJW-BRwW1bbDQR2-V1wKXXvYQ,8
ChIJW-8NcgRbbDQRk2xpQja3kOs,8
ChIJ7-uz7e1abDQRvXexsgsloTk,8
ChIJv7pkof5dbDQR6nv4dYCO54I,8
ChIJTTgcnF9bbDQRyRePTX8sDUs,8
ChIJwVBaGENEbDQRxybYyUCmmIk,8
ChIJE7ziGXlbbDQRyDbn42cIOt0,7
ChIJQ6jmI8BabDQRZT-gcmvn5_E,7
ChIJ2Ur3hsCfaDQRT1uu0DytjZU,7
ChIJDzQp2CNbbDQRUpc_F9gG7ww,7
ChIJO-MZnnlbbDQR9vZ_kOWBm78,7
ChIJJZdxFI1bbDQRBWFA9MKfhYs,7
ChIJnakPMvNabDQRHhTSe32Wu_A,7
ChIJb5mgoItabDQRD_06Ch4YNZk,6
ChIJtem1wIxabDQR1EwfmYtPOm8,6
ChIJZ_LTzoxabDQRcr-Fc8zyvG8,6
ChIJPaTOMhpbbDQRGUk851N2btk,6
ChIJI_gShIIEbjQR-SEM7ba1uNQ,6
ChIJXwXdi_VcbDQRXhyWMJzBcXg,6
ChIJMzqLWZVabDQR6dIJfHb1kRM,6
ChIJ0Yjn9-5abDQRR86lBh66Sxk,6
ChIJMUY99PJabDQRT6mnNNbvong,6
ChIJi_EOzsFabDQR5ZLGt7zlO9o,5
ChIJTRMp-_JabDQRUnK6SeL9Hcs,5
ChIJ4_jQPG1bbDQR6eusoF9Q6FI,5
ChIJ2UuZDvdRbDQRZ7k-2aB9jfU,5
ChIJcdr58_JabDQR7Z9m1T38Qes,5
ChIJsQOMTo1abDQRlqx3YWIRqn4,5
ChIJ89tisyNFbDQRjyACT7OD5qo,5
ChIJA91hbPNabDQRpnE_p_-P_Q0,5
ChIJ_cFBzYxabDQRFqF_TcoKWY8,5
ChIJGTSaq8lFbDQRjk4BwaWTEBM,4
ChIJj542WPVbbDQR_T1PEoZEIu4,4
ChIJweNDfotabDQR93dcuthOvzc,4
ChIJXcTEPjdRbDQRI7DPZYYs6Lg,4
ChIJfUTYy19bbDQRmWgzPwkrwUM,4
ChIJHfzVWP9FbDQRibiAYDHgXQ4,4
ChIJjd7vde9abDQRBMV5IWfxD58,4
ChIJzWHh3IxabDQRqiTsKKJYtho,4
ChIJEZ84zIxabDQRdQEcjZs-iD0,3
ChIJhWgytnJEbDQR420Ap52ceMw,3
ChIJ____v61cbDQRvnCGPpq8P-c,3
ChIJOUsN5O5FbDQRAC21LD6slVc,3
ChIJmdmKfF9cbDQRh1dE3uWxpeE,3
ChIJhaeIFPJabDQRaJq91AYu2a0,3
ChIJk2dywYxabDQRzg0hnDgjxsU,3
ChIJKzP6k_JabDQRRWA99P87F2I,3
ChIJ1yLDhNQdaDQRpWUg4naVkwI,3
ChIJy5SKfO1abDQRd2lFY49rbio,3
ChIJufRWH_JabDQRno-8rXPoS9Q,3
ChIJ1y1YIvNabDQRD2Tu5-uB4yQ,3
ChIJK1joaBtbbDQRTJEU6TJVjgA,3
ChIJeb-qgj4lBhQRsdw0Ql3GcKM,3
ChIJadvlyslabDQR8uQJ7HFjF5E,2
ChIJGVGH4b9abDQRSRLUk-_S5no,2
ChIJo33GSERFbDQR5xCG0Xk0Kuo,2
ChIJpQdFlNBbbDQRRJyN0brx2DI,2
ChIJhdkzK41abDQR1Cuu7j6q_ak,2
ChIJ3dnarZQ1aDQR9cqxIVNQxcM,2
ChIJTRupj_JabDQRjC8wQtfKSSM,2
ChIJ_2X0Q_NabDQRqbZG7M28kjk,2
ChIJlXhsjvJabDQRvjjVI7iIRg8,2
ChIJ_x9G3vJabDQRyF4Mlt23SYQ,2
ChIJ45LxDvNabDQRD1_2UOwS_e8,2
ChIJ3-P5PV9cbDQR8WW19pw-N8c,2
ChIJ41I-4lxEbDQRaUI2tT-zhTs,1
ChIJH51iv4xabDQRXl_HIFjwFrY,1
ChIJAQAArItabDQRg-WVwOJjuuw,1
ChIJ05QELp9bbDQRN3iG2DVW1vI,1
ChIJ_____8xFbDQRceATF2b_Y-w,1
ChIJPcQ-GuNbbDQRIccXV_nQY04,1
ChIJkUyLXyRbbDQRc03xYIr9czQ,1
ChIJGX1vh-unbTQRfxfKOM1kZRk,1
ChIJ8zJcwvZbbDQR4knHYMtibZs,1
ChIJq6qq6sBabDQRuf0h5lRLqTc,1
ChIJQ4wnO31ZbDQR5rOE3vEdhOY,1
ChIJ44xmlHdbbDQRfsWoV4yNbrI,1
