no,Time,UserID/MemID,設置點,緯度,經度,place_id
28,2/1/2022 12:06:32 AM,U1533b24c18a3e1f1479bdb79969431d9,岩田丼屋歡迎您！,23.57708,119.57257,ChIJQ6jmI8BabDQRZT-gcmvn5_E
30,2/1/2022 12:07:03 AM,Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,澎福食品行,23.58479347,119.6631239,ChIJwVBaGENEbDQRxybYyUCmmIk
31,2/1/2022 12:07:34 PM,U70e839055608596fa7b05aefe69821e3,富勝食品企業行,23.54909,119.61929,ChIJo33GSERFbDQR5xCG0Xk0Kuo
32,2/1/2022 12:09:13 AM,U7f3b78bc013a2e7bb853218f9817e79c,文化路蔥油餅,23.56825,119.56753,ChIJeSg-_DKUbjQRRjZPr8RpjNI
34,2/1/2022 12:13:20 AM,U7f3b78bc013a2e7bb853218f9817e79c,獨領風騷,23.56815,119.56751,ChIJq_Fhd2ipQjQRmwksF_0508U
35,2/1/2022 12:19:21 AM,U3bc29efa4e459e4802139b075e9574e8,天津蔥抓餅,23.57431,119.5792,ChIJQzBnhYWpQjQR7Vr5CPt4quk
36,2/1/2022 12:20:27 AM,U8eb2e7fe550a6d1e4a1519e405d3c917,夏天茶飲,23.57184,119.57075,ChIJN9-vTe5abDQRt5TDf4_F5kU
37,2/1/2022 12:21:04 AM,Uaae89b5752af1bf17f87d9cf02d03e41,外婆麵猴,23.57246,119.57467,ChIJs7M8K6VbbDQREYWW40BRIc4
38,2/1/2022 12:22:04 PM,U317cec3c5157e6f8bb09cfb3a514f5cc,大口香雞排,23.56719,119.56471,ChIJp3C6HQ4faDQRgNJN_O7tjLU
39,2/1/2022 12:24:40 PM,U1b7003bab2aaf402832cd6851b431769,原豆工坊咖啡專賣店,23.56409,119.56508,ChIJzV38LvNabDQRGh1qBJwaVC0
44,2/1/2022 2:09:45 PM,U863b8cae579201d96dab41d5e002a5a3,小螞蟻牛排,23.56836,119.56831,ChIJO-k-Wr1bbDQRkJ45wWsxJ_A
45,2/1/2022 2:23:41 PM,Uaae89b5752af1bf17f87d9cf02d03e41,白灣景觀餐廳,23.56154,119.64737,ChIJBwOBAAdFbDQRusz1SM14xhM
46,2/1/2022 2:31:49 PM,U41cdbf64df0886d0acae01076f860cb9,愛家好朋友素食屋,23.57727,119.57231,ChIJgQ9hUuRabDQRj5lwxDjyAvA
50,2/1/2022 2:48:50 PM,U863b8cae579201d96dab41d5e002a5a3,老餅新料蔥油餅,23.57605,119.57486,ChIJYVRTJhVbbDQR7tGzlovPn_A
52,2/1/2022 3:11:20 PM,Ue1f9ea92a0df617e7e86b7ad1106c5e2,霸味薑母鴨,23.5705,119.57567,ChIJzyST3v0eaDQRk6JiAEWDLls
53,2/1/2022 3:11:44 PM,U0ecca1d37264bc79c881ea6b7a03cc5b,佶肯美式漢堡炸雞,23.56354,119.56659,ChIJ2cPHGUpbbDQRVpSpFauCZVk
56,2/1/2022 3:46:27 PM,U84d3f6e73571a6a5db8cabb3f2759eaa,外垵福氣刈包,23.56469,119.47946,ChIJubLqyOBZbDQR3lTEi3Sv1VM
57,2/1/2022 3:58:33 PM,U6700554e734c9f720440c275b8b13b96,我們是望安CAFE,23.56506,119.56816,ChIJdV-6r_JabDQRbZXMkPfruRU
61,2/1/2022 4:37:43 AM,U3404039d365530b0fa956fe36d03d68b,北海道海產專賣店,23.56637,119.56886,ChIJI_0vfe1abDQRRaggHe2FpWQ
62,2/1/2022 4:46:12 PM,U06d6966af476ff8ac22df66626410381,沐一日式豬排專賣店,23.57319,119.57316,ChIJH6_areIfaDQRxbw1ItW8NYE
64,2/1/2022 5:18:40 PM,U84d3f6e73571a6a5db8cabb3f2759eaa,好享吃小火鍋,23.56745,119.56641,ChIJ20lg-PJabDQRDHiKMctfOv0
65,2/1/2022 5:31:52 PM,U317cec3c5157e6f8bb09cfb3a514f5cc,三ㄚ店&潮style,23.56705,119.56538,ChIJjdfJX-9bbDQRpFljTPY-BPc
66,2/1/2022 5:32:37 PM,U62e621513454187f94290692689f56ad,桃太郎日式料理,23.56613,119.56468,ChIJv9NX1XU9aTQRIvMYrBHdhc0
67,2/1/2022 5:38:39 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,澎湖伯伴手禮坊,23.57123973,119.5799884,ChIJmxURSOWrQjQRMCmVD8TDYhg
69,2/1/2022 6:13:35 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,六六八餐廳,23.57152446,119.5676683,ChIJhaeIFPJabDQRaJq91AYu2a0
70,2/1/2022 6:26:27 PM,U6700554e734c9f720440c275b8b13b96,漁夫才哥企業社,23.58167831,119.638447,ChIJ0Syx1uREbDQRqEicAa2YcVE
71,2/1/2022 6:26:39 AM,U78abaddc12fb13da74ea5cf110c3e776,澎湖水仙宮,23.56385,119.56416,ChIJw4GYlIxabDQRflOX6CeyjrA
72,2/1/2022 6:57:48 PM,U54d5e3f6e7f2d29a5a7200b210fe4892,海玩子雞蛋糕,23.56997,119.56894,ChIJfRyEck1bbDQRW1v231YeUP8
74,2/1/2022 7:24:27 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,海口峰海產行,23.56315044,119.5831612,ChIJrRam_dZbbDQRHGR5hppvJ8E
76,2/1/2022 7:35:35 PM,U863b8cae579201d96dab41d5e002a5a3,新巴適經典麻辣鍋,23.57179,119.57882,ChIJsf69pgNbbDQR0dEMFKxMPxY
79,2/1/2022 7:48:46 PM,U3c29e39a18fb2239afcf1a9ce5da3d09,品川元麻辣串串,23.56319,119.59046,ChIJay6xsuWpQjQRTt8zvck6xWM
80,2/1/2022 7:55:20 PM,U58001d9adfe8f94262b41bcaf841093b,拾捌度C鮮果茶飲站,23.57436,119.5795,ChIJa90zcNofaDQRYeX0XvEVs2Y
82,2/1/2022 7:57:12 AM,U0b14300de9a4d57d38b5599bb17c5fc4,蔬脆蛋餅,23.56632,119.56511,ChIJm-8sPfNabDQR3Gp44W0AwU4
84,2/1/2022 8:07:37 PM,Ucdba1bf15e1eb63bbe2a6bc301d768d0,石滬廣場站,23.56312198,119.5648365,ChIJT6bv8YxabDQRDJJkLTdthb4
87,2/1/2022 8:36:58 AM,U6578f650fb2e12f080ace324fd338c80,旭西餅舖,23.58575,119.65961,ChIJ41I-4lxEbDQRaUI2tT-zhTs
89,2/1/2022 9:00:57 AM,U7676d997af8f09860c497735040717d5,新臺澎海產購物中心,23.56733,119.56717,ChIJ9Xhve_NabDQRVvJejLXDZjU
92,2/1/2022 9:08:30 AM,U818fd6da9a2a8e5b11cf9562a14849d0,澎湖 朝陽路肉圓,23.57339,119.57697,ChIJb8JwguhabDQR7a0_au0jVCI
98,2/1/2022 9:59:59 AM,U818fd6da9a2a8e5b11cf9562a14849d0,純意居蔬食超市,23.57356,119.57634,ChIJ04AyiNSrQjQRPk09KgfXK_Q
101,2/10/2022 1:17:35 PM,U1f2baccfa1b2d88b8f29575722fb2121,岩質咖啡,23.56646069,119.5790493,ChIJ6wZYFepabDQRj2HrYa--7NU
102,2/10/2022 1:17:36 PM,U1f2baccfa1b2d88b8f29575722fb2121,澎湖海洋地質公園中心,23.56633846,119.5787976,ChIJAUljgLlbbDQRwuvTXGBzHnE
103,2/10/2022 1:28:16 PM,U69b0447bac1e28d81d936460bb471e45,澎湖海洋地質公園中心(1F),23.56642,119.57891,ChIJAUljgLlbbDQRwuvTXGBzHnE
107,2/10/2022 10:47:15 AM,Udc2acab56b09deeed9ec2d76a1fd169e,媽宮海產行到了！,23.56491,119.56533,ChIJpVXXBaBbbDQR9NbO3ifqXR8
109,2/10/2022 11:01:00 PM,U38c7bdd36eb764384f5a6071a362651f,飛特潛艦Victor Johni’R,23.56737,119.56745,ChIJmYYswpNbbDQRTfNcBP0hH2w
110,2/10/2022 11:04:47 AM,Ub248b130077deabae7f715d3c6eac3f9,紐西蘭牛排館,23.57295,119.57542,ChIJc-rbmV4faDQRQE1OzBebgjM
112,2/10/2022 11:05:51 PM,U38c7bdd36eb764384f5a6071a362651f,小小間,23.57003,119.56901,ChIJo3XX_3cfaDQRtGnavBfiy0E
114,2/10/2022 11:28:22 PM,U38c7bdd36eb764384f5a6071a362651f,阿鳳牛肉河粉,23.57142,119.57239,ChIJjb-f_e5abDQRjlx7oCHlPoM
119,2/10/2022 11:49:00 AM,U863b8cae579201d96dab41d5e002a5a3,呷飽飽燒烤屋,23.57558,119.58025,ChIJRzYoJ_1bbDQR9Mc83QLsd98
121,2/10/2022 11:49:34 AM,U1533b24c18a3e1f1479bdb79969431d9,日香美食坊歡迎您～,23.57466,119.5768,ChIJTaiZN-ZabDQRsy1PWLxaE5I
122,2/10/2022 12:11:35 PM,U1533b24c18a3e1f1479bdb79969431d9,曾記滿福堂擔仔麵,23.57406,119.57323,ChIJZU7sJiRbbDQR6ns6US0hX7g
124,2/10/2022 12:19:33 AM,U317cec3c5157e6f8bb09cfb3a514f5cc,四季肉圓專賣店,23.57334,119.57233,ChIJzdsuPL5bbDQRIAxOSvwLpO0
127,2/10/2022 12:31:22 PM,Ubaf58e50e1a0f6cf64739737b2398b0f,海島海產大賣場,23.56576883,119.5655136,ChIJBRjMKPNabDQRzIM5o7k1v9s
128,2/10/2022 12:32:05 PM,U1533b24c18a3e1f1479bdb79969431d9,嚐香聚牛肉麵,23.57425,119.57308,ChIJN2ZU9eVabDQR_34Xh_UFy-8
130,2/10/2022 12:35:12 PM,Ua5d612b844f3c29bede3e6e5528797f5,小林包子饅頭店,23.5685,119.56895,ChIJ65MD9e1abDQRgBYmeHF2G7o
131,2/10/2022 12:42:35 PM,Ubf9613667a2d109d9f26efb31b8cc1e3,秋禾家和風創意料理,23.56187,119.58124,ChIJGVGH4b9abDQRSRLUk-_S5no
132,2/10/2022 12:48:40 PM,U7f8cc11658910a8d1e4cbb29fdd94e25,玻玻飲食店,23.57971,119.57924,ChIJr0KgJuohaDQRpFvzq73WYU8
134,2/10/2022 2:08:52 PM,U818fd6da9a2a8e5b11cf9562a14849d0,抓包．馬公分店,23.5729,119.57694,ChIJXxmz95i7QjQR2KV4hNKmZqA
135,2/10/2022 2:19:53 PM,U0d5a39ecd31b0b2b63f941e2d03cb796,多那之澎湖店,23.56483,119.56537,ChIJ-9y604xabDQRScBNv-jRGcA
137,2/10/2022 2:31:46 PM,U317cec3c5157e6f8bb09cfb3a514f5cc,希望天地珊瑚珍珠,23.56519326,119.5675032,ChIJ-0wnbL5abDQRmt8CzhaZVh4
141,2/10/2022 2:51:28 PM,U50284f2fcdf83512e9e4968a77e2a672,最愛小米甜甜圈,23.58469,119.66216,ChIJOUsN5O5FbDQRAC21LD6slVc
145,2/10/2022 3:27:38 PM,U67a7a0290b58d9e0f8cff519fe54860b,奶油蝴蝶烘焙坊,23.57647,119.57387,ChIJz83xzeVabDQROGKi9GXiiFQ
149,2/10/2022 3:33:13 PM,Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,招柴莉莉,23.57278,119.57504,ChIJOQKqwa03aDQRdWUUj-skPf8
155,2/10/2022 3:56:55 PM,U67a7a0290b58d9e0f8cff519fe54860b,O le pain 喔！麵包,23.57111,119.57982,ChIJF9RFJOhabDQRx8CemXDka7U
159,2/10/2022 5:19:32 PM,U980b777af61d81386b425fd47e220136,提樂茶飲專賣店,23.56668,119.5654,ChIJW-8NcgRbbDQRk2xpQja3kOs
160,2/10/2022 5:22:18 PM,Ud9f189e6e4cbc8628e6994a3adc90939,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,ChIJT0S2eeVdbDQRKwaZerDk1zI
165,2/10/2022 6:05:16 PM,U7676d997af8f09860c497735040717d5,滷底撈-澎湖店,23.56499,119.58107,ChIJw0K1XelabDQRR05-D8tl7SM
174,2/10/2022 7:02:59 PM,U7a89fa99cb80c8496590501db322b56c,鯨 鯊威瑪,23.5667,119.56479,ChIJsSt8N9ZbbDQROqPHbWQzlgI
180,2/10/2022 7:38:43 PM,U317cec3c5157e6f8bb09cfb3a514f5cc,秋喜肉蛋吐司,23.56867,119.5675,ChIJLQsxp-NbbDQRbQjjES_Y3Xo
187,2/10/2022 8:44:45 AM,U6594f5623ade5662784accad1314115c,欣欣麵食館,23.58453,119.65867,ChIJO25Ws4CoQjQRDB7Wsdfn38Y
189,2/10/2022 9:05:49 AM,U6594f5623ade5662784accad1314115c,榕徽嬤?吃吃喝喝,23.56909,119.59924,ChIJE4pb6z5bbDQR5G6BkO2_eSE
191,2/10/2022 9:21:57 PM,Uc6ca45181f84f93c8037448e8d1945cd,巴適麻辣鍋,23.57185,119.58141,ChIJI8R1IGc3aDQRNUAparOfbhw
200,2/11/2022 1:03:54 PM,Uac8f1738516975144175970d61cd80a6,赤崁海產行,23.57061,119.57209,ChIJ1UGB9O5abDQRK6G5GcPmTEQ
203,2/11/2022 1:10:04 PM,U317cec3c5157e6f8bb09cfb3a514f5cc,自由塔,23.56993769,119.5713121,ChIJlzQ-Y-5abDQResCI8cBJOb8
204,2/11/2022 1:12:18 PM,Ue27028025057a63c1353fc5b15c117a8,青灣餐廳,23.52903,119.55413,ChIJ2UuZDvdRbDQRZ7k-2aB9jfU
207,2/11/2022 1:26:05 PM,U7a89fa99cb80c8496590501db322b56c,菲菲檸檬,23.57352,119.57246,ChIJOe5VcvJabDQRFDYDZcsFtZk
215,2/11/2022 11:15:33 PM,Uc31b6630118080fe58e0cf134b3b4124,弗洛伊得飲酒店,23.56755,119.56811,ChIJ3YFee_JabDQRdTZgl44Xp-8
216,2/11/2022 11:18:28 PM,U75559c3a5e306d3cdf5a9e3dbd88febf,夯小管燒x雞蛋糕,23.56476,119.58144,ChIJfRyEck1bbDQRW1v231YeUP8
218,2/11/2022 11:33:55 AM,U58001d9adfe8f94262b41bcaf841093b,登峰藝品行(登峰特產行),23.56505,119.56522,ChIJ0bCS0oxabDQR0EkKVFJ_O3Y
225,2/11/2022 12:33:19 PM,U317cec3c5157e6f8bb09cfb3a514f5cc,小門鯨魚洞站,23.65265094,119.5174826,ChIJ9W2zcRtcbDQRVinznJ9L07I
230,2/11/2022 12:55:46 AM,U154bd291a178d1a0c85e1957dd0212bd,美味登場飯麵館,23.56881,119.57029,ChIJGyF4j5EfaDQRlbfcfnQYW1c
233,2/11/2022 2:02:47 PM,U6368c5aa5f76abbfc284f5224f2ae22a,熊掌心健康果茶,23.56358,119.56499,ChIJKds1DudbbDQRi9we1y9h3yk
235,2/11/2022 2:23:47 PM,U58001d9adfe8f94262b41bcaf841093b,小熊與樹小熊燒馬公店,23.56762,119.58277,ChIJIZeoF4tbbDQRArpaCIcKdRI
241,2/11/2022 4:25:52 PM,U98d0d675417375da1eea4c4bd7cdb2e9,Mr.大雞,23.57226,119.57626,ChIJtTuEYKlbbDQRqiQ8EFcGZwA
248,2/11/2022 5:35:53 PM,U22810a86bf6c88e1580fc68bb22cc23c,秀秀蔥大餅,23.5764,119.57411,ChIJOdEODuRabDQRdSnc3SoZEhA
251,2/11/2022 5:48:33 PM,U9d74e50af944020a75cdc3d1928eddee,找食間,23.57331,119.56867,ChIJC-sIK_BabDQRbXkDCZgukU0
252,2/11/2022 6:08:26 PM,U410a9008b1cf495925182f84ce1f204e,味真香新港鴨肉羹臭豆腐,23.57536,119.57442,ChIJ-bbZLLZbbDQR9MENVN1zp3U
268,2/11/2022 9:40:42 PM,U16884c894357fdf20860f6ecee558d7f,High wave pizza,23.56532,119.56466,ChIJTTgcnF9bbDQRyRePTX8sDUs
270,2/12/2022 1:09:27 PM,U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,阿姨仙人掌冰,23.65683,119.55745,ChIJXwXdi_VcbDQRXhyWMJzBcXg
278,2/12/2022 10:33:29 PM,U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,184巷餐酒館,23.57525,119.57606,ChIJj542WPVbbDQR_T1PEoZEIu4
282,2/12/2022 10:51:50 PM,U549d83ded5aae205862d9454360f140e,本家食堂日式料理,23.57544,119.57445,ChIJb2-h3-VabDQR4qu44KW2AtA
284,2/12/2022 11:08:20 AM,Ubd14cefc1682ba6ea76aec6c8e0cb0ba,郭家炒滷味,23.5673,119.56651,ChIJKdpLqXKpQjQR8d6Dyoc8YLo
297,2/12/2022 3:56:31 PM,U3c29e39a18fb2239afcf1a9ce5da3d09,麗洋手作蛋糕,23.56431,119.56464,ChIJK8LlxoxabDQR9PAJ71QRSMQ
301,2/12/2022 4:33:32 PM,U3d1ca00de485ef589ee39531bb5357ec,源利軒黑糖糕老店,23.56572,119.56496,ChIJv645RSJbbDQRv6Sk7PDRpeU
310,2/12/2022 5:55:36 PM,U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,達咖啡,23.56737,119.56745,ChIJReMv-KMCaDQRTQaFauJSP3M
316,2/12/2022 6:49:00 AM,U154bd291a178d1a0c85e1957dd0212bd,澎湖樂晨早午餐,23.57313,119.57701,ChIJlTmvMGFbbDQRGiEITH7mwmo
323,2/12/2022 7:55:12 PM,Ue27028025057a63c1353fc5b15c117a8,京典小吃部,23.56481,119.56895,ChIJBzOOEY1abDQR0_gQ3nAEJ7U
326,2/12/2022 8:27:37 PM,U87c00daa10687a8c7db52939e4cb999b,馬路益燒肉飯,23.56596,119.56523,ChIJNYUKJ8JabDQRiiRUWUOsJlM
329,2/12/2022 9:53:57 PM,U1533b24c18a3e1f1479bdb79969431d9,Bella調酒專賣店,23.56855353,119.567152,ChIJ4xYYPAlbbDQRA0iQ6rdYDTg
330,2/13/2022 1:01:12 PM,U50284f2fcdf83512e9e4968a77e2a672,海功商號(波霸花枝丸、月亮蝦餅、當季海鮮宅配),23.56542,119.56562,ChIJicxsKfNabDQR3bdCErfjbaU
339,2/13/2022 11:35:01 AM,U87c00daa10687a8c7db52939e4cb999b,小和食光輕食館,23.57465715,119.5734249,ChIJY7G8zCNbbDQROK_EFcpcfPw
340,2/13/2022 11:51:06 AM,U22810a86bf6c88e1580fc68bb22cc23c,四方早餐店,23.56619,119.58263,ChIJLeqDHHOpQjQRjIgswvkjQjw
347,2/13/2022 3:20:12 PM,U78abaddc12fb13da74ea5cf110c3e776,澎湖景福祠,23.56412,119.56441,ChIJH51iv4xabDQRXl_HIFjwFrY
355,2/13/2022 5:57:15 PM,U1533b24c18a3e1f1479bdb79969431d9,祥馨鮮鮮果舖,23.57336,119.57256,ChIJ00QLKRJbbDQRwD2GYkNXlMI
366,2/13/2022 7:20:48 PM,U83a795c9bbe7e2600837384f0bc0f999,檸檬香茅火鍋澎湖店,23.56283,119.56518,ChIJk_h1SSNbbDQRpX7P_cwyx3c
382,2/13/2022 9:02:46 PM,Ua197d31b67d9321e3c2f2a075fc2f5be,泉利餅舖,23.5667,119.56789,ChIJTRupj_JabDQRjC8wQtfKSSM
385,2/14/2022 11:05:23 AM,Ua3939a175af1ebc9979229dc604647ec,三多燒肉飯,23.57441,119.57805,ChIJ62gTADunQjQR7L96VnVUcfM
387,2/14/2022 11:07:22 PM,Ub248b130077deabae7f715d3c6eac3f9,許媽媽小吃館,23.56888,119.56856,ChIJS_WdDvJabDQRs6gYjJqno2I
393,2/14/2022 2:44:50 PM,U3dc4122ffdd99c7b1151c06b6570112f,金醬府,23.56734,119.5729,ChIJkaAQgG5bbDQR-ckXlZIXzTQ
404,2/14/2022 4:47:53 PM,U90cfbb67d566a3c9ae139abd7c8f1a3f,美德西點麵包店,23.5706,119.57208,ChIJGzrbRygfaDQR2YLRKJOo7Dk
406,2/14/2022 5:10:47 PM,U980b777af61d81386b425fd47e220136,菊楓食堂日式料理,23.57538,119.58058,ChIJ2_jZgd1abDQRFayuSHiw_Nc
422,2/14/2022 7:05:10 PM,Ue253a78a8c16433cdb29ea322e001705,海城上湯鮮魚粥飯麵館,23.57711,119.57021,ChIJ9QBaz7NbbDQRjAWCAQOZ3z8
426,2/14/2022 7:42:30 PM,Ue4806806e39f97a855428e298d457dd0,回鄉餐館-(義大利麵 濃湯 炒飯 便當),23.56406,119.58901,ChIJ50sFewZbbDQRW0anIIkS-YM
448,2/15/2022 1:39:16 PM,U6368c5aa5f76abbfc284f5224f2ae22a,源羊肉店,23.57158,119.57413,ChIJWfppo1WnQjQR1s1eJaGwzZQ
450,2/15/2022 1:48:13 PM,U7a89fa99cb80c8496590501db322b56c,趴兔PART TWO茶坊,23.56289,119.58495,ChIJdScRj41bbDQRvGg_sRo4fdc
453,2/15/2022 1:53:47 PM,U1e7bdecb0fa61d04490ebac3ffaa905e,ㄇㄇ的臭豆腐,23.55258,119.61097,ChIJo0lSOWlFbDQRJlTgv1wB8Uw
459,2/15/2022 10:56:27 PM,Uac8f1738516975144175970d61cd80a6,14巷復刻飛鏢餐館,23.56589,119.5663,ChIJE7ziGXlbbDQRyDbn42cIOt0
474,2/15/2022 12:40:59 PM,Ubf9613667a2d109d9f26efb31b8cc1e3,小蘑菇義大利麵,23.56716,119.56465,ChIJtfUdXa4faDQRNPDrzKHbw7A
476,2/15/2022 12:50:33 PM,Ue1f9ea92a0df617e7e86b7ad1106c5e2,真鮮味小吃部,119.56491,119.56929,ChIJmc-gsV9bbDQRjslRsRk4OLE
490,2/15/2022 3:54:23 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,跨海大橋(西嶼端),23.63923913,119.5405206,ChIJv7pkof5dbDQR6nv4dYCO54I
496,2/15/2022 4:38:08 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,二崁聚落站,23.60407314,119.517786,ChIJgWTbWNBbbDQR8CTWafLvjDg
513,2/15/2022 6:56:09 PM,U0d5a39ecd31b0b2b63f941e2d03cb796,澎湖湯包王,23.57572,119.57479,ChIJfYyqojxbbDQRGGxepd_BnfY
518,2/15/2022 7:15:59 PM,U1533b24c18a3e1f1479bdb79969431d9,紫光複合式餐飲,23.56601,119.56687,ChIJyVNCwvJabDQRkvfi2gtgkic
532,2/15/2022 9:17:32 AM,Uc90a03dc5c8efd275ba07ee176e23375,龍門閉鎖陣地,23.55574,119.67569,ChIJGTSaq8lFbDQRjk4BwaWTEBM
534,2/15/2022 9:27:22 PM,U317cec3c5157e6f8bb09cfb3a514f5cc,世軒西點麵包????,23.57275,119.57417,ChIJPTaLSe9abDQRkaCzegaLOKI
538,2/16/2022 1:10:42 PM,U05acef925dad7cbfa0cca1762f4aa64d,皮克吐司,23.56714,119.56467,ChIJ81KTlb83aDQRm_JDZX1ZNNY
543,2/16/2022 1:45:05 PM,U6368c5aa5f76abbfc284f5224f2ae22a,津旺素食,23.56742,119.5681,ChIJ9xPjYvJabDQR9M88sVfluaQ
573,2/16/2022 2:11:33 PM,U4e68ed94217b679a3bb1f22d7081c00e,阿力香雞排-文山店,23.56285,119.58517,ChIJ1_k8-iUfaDQRhw5J-yR4rYE
588,2/16/2022 5:01:12 PM,U2a61f0c04f909838b1b52cce31614069,恐龍炭烤饅頭,23.56671,119.56477,ChIJca6AcixbbDQRAO4FYiTPnEQ
589,2/16/2022 5:03:00 PM,U2a61f0c04f909838b1b52cce31614069,邁泰MAI TAI THAI TEA,23.56667,119.56486,ChIJ913TnM1bbDQRg2WOanFw-Vs
601,2/16/2022 8:23:39 PM,U1533b24c18a3e1f1479bdb79969431d9,小城故事庭園咖啡館,23.56972,119.56732,ChIJufRWH_JabDQRno-8rXPoS9Q
615,2/16/2022 9:31:45 PM,U1e7bdecb0fa61d04490ebac3ffaa905e,陰陽堂,23.56428,119.56422,ChIJAQAArItabDQRg-WVwOJjuuw
617,2/16/2022 9:51:17 PM,U777bd7ab1fdf2dd08c34b34acdcf50d9,峰鮮宴隱市食堂,23.56359,119.5808,ChIJIXp_sKdbbDQRSCtuMHZGHJc
644,2/17/2022 4:05:14 PM,U6d1b2af10fd5ed87fa93e0565cb66e7b,二崁杏仁茶館,23.60457,119.51837,ChIJeb-qgj4lBhQRsdw0Ql3GcKM
654,2/17/2022 7:04:17 PM,U1193b30bfe522e1c30244378c84e7240,家味健康素食,23.56603,119.56498,ChIJQVFjplsjaDQRrnRBXJmA9PM
726,2/18/2022 6:10:45 PM,U0781ca1080648882355dd846776649d0,擄胃食堂,23.56783,119.56729,ChIJ05QELp9bbDQRN3iG2DVW1vI
732,2/18/2022 7:02:11 PM,U91fdbdd21dbf7326a9589f463c6f5bef,海貝創意工作室,23.56451,119.56438,ChIJ_cFBzYxabDQRFqF_TcoKWY8
829,2/2/2022 2:43:45 PM,U87c00daa10687a8c7db52939e4cb999b,典醬家,23.56933086,119.5898642,ChIJ3TEhVKxbbDQRsyo0iIjtvL0
838,2/2/2022 4:13:23 PM,U549d83ded5aae205862d9454360f140e,萊客帕冰品Like Par Par,23.56342,119.56493,ChIJtYfwZsdbbDQRYdENbLrShBc
844,2/2/2022 4:51:53 PM,Ue573c8328a00a6bb23fec48a3b747101,懶人披薩雞排,23.56375,119.5644,ChIJm1WMpoADbjQRsSboBeeKe4s
869,2/2/2022 7:35:34 PM,U549d83ded5aae205862d9454360f140e,澎湖甘草芭樂,23.56577,119.56529,ChIJMaDpgO1RbDQR8O-faQh24-k
879,2/20/2022 1:54:41 PM,U8793a2bb7e42885c2e17c4682d981151,吹蚵仔的海鮮小吃,23.56414,119.56783,ChIJsQOMTo1abDQRlqx3YWIRqn4
