hotel_name,latitude,longitude,url
家翔琳觀海民宿-馬公【海景第一排｜澎湖住宿｜提供接送服務｜推薦早餐】,23.5732912,119.5669921,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcJGMGSWTAkUVorwGBeveO43v_5caI3ctm7VR6aVMMWnQ_WliBulaeATHHeiK8aV2ZympJU37vz4g_LRSMSzPog_s98bsGi9ZOEKbdo8NAyR1lVpv9tHE-mUvRo7r7yhmLH4Y0lYcdLcEsz6zWwjvbwFWVK14tXpjd9UGrNnZY39MnoN&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
彩虹文旅,23.56751329999999,119.5644661,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcKDpswIesOE91sEyduBODlwCeW_nE8XkJZrvpNB3tUzMMVQZyFsB6mlTWi1SJUkxPHEaksnJCsgMX-5Zjnh6fD9d0pEBo_ojdL2x4JlpB8Khqc47Ot8qtlWl552bPVq0Qn94gjxlMx72mZbzLPq_uAybs7UiEl7N3iPNApLohrdvirF&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
在水一方 Memory In Water B&B,23.5833263,119.5782318,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcKZP1jJStcFMYRc2sSQC5vdPXbYpm5yXKK4G7bq94Ux6pdXpRLk_-KQxndsmg65FjteIjy1tTykVFa7l4BaUmPKY7peAKPTaH477PbXkACqNqrBryKFfmt2858T39zb54ti66XBuJNwtqy47j3uSPczMWtd2v8VG1b4fr09VKwT5R3d&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
海洋渡假村,23.5643921,119.5685806,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcLirymEnd1uKC7A4sul-jlDEzWYeQUVg6IPfR913koU5z2Pasp29DCEwT7uw5BvA2O9DiAnfexA4GuR52IUHlNYZsxcMEYkR-JBnFHp50JJ4TcCzRbPP4yinkFz68PApTNjtvTQUVG2RYaqi4RBITstG9tvB0y9T_uVT44EnX6OKxn5&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
澎湖福朋喜來登酒店,23.5678395,119.575786,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcIz5pxUSoTLswz7UlZzzvIIBPnolrJ6mMWKPrI_VFpcnhpJoj0kUYh548ixBMhvrqEa4QpTkLjKfKu3kxLpRaJebLy5owQlYBWAxbDhGurJHUugOPRHduwoCEibu3HOW636iuNr6n9SuvPynD4gRwrAv9qfjBcf7qwL4L8Lkf8iZmrI&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
踏浪觀海美宿民宿,23.5770166,119.5692246,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcIqkccJ6GGXb-vrXpY0ZjvuFS771tU1NSiHv9bqANzAap2TbyNsCOaBXypbLyS5nkxjfwiXBREFGz_gcILdXLzxmvcNwkHNm182Fdw1_62UMNKt6DhggmOmWyFjvhbkD18krBzIDDs9WpS0spFlPeyCT-zPazG7mfWTBvru0s2c4JFV&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
棉花雲文旅民宿-Cotton Cloud B&B,23.5763457,119.5708823,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcI2Le6YXgE8QKN2mZGK4Qcq7yo13EHpG6sQOwq89blTpDK9ZhwZCkEsYn9B3Z7J2LNIIlfsssW0_jAbZ5WgKJtlXimtRzpSKpkuECqDb-aMim1JFl90cFeqgqlEdhAxtHU3AeRRljqRgOIQiIIMDEQrg3iC3kIlAMcWHKcMn_sdqQ4B&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
馥園民宿,23.56705539999999,119.5848406,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcJoqbPhxnN5JLMFjb6gxNRdblqHbLVRkfqrd6my3-HkJO5-e7eotOci4UUsNYrSdU7adKWC6qAQH5OmXMgLDV2jc1WBlcpbsR1-k30yUXKTNtN9eKGmzKuSPbRZEeWYqhArjKED1F1jMAlpITMBXoQ060iTY5guBk3STkJ7N-nxyFdQ&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
澎湖和田大飯店,23.5636561,119.5670927,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcIPX36jQLeonmSnUdxfb9m86pR-opuQbVM2LGeBB8t-MyHAJZUg539h0eiJWBIrb8gmfz4pzKb4Hdc-9-TBQ0Kt6Doz3qwR6-1e1LGW93kQN995w0WyfCmgkCgQraU47USZUuQSF7BBnFw7IMfGrCdRgnqw517gvY5hFJtKpwDafOWs&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
和興大飯店(小島遊),23.5723112,119.571221,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=Aaw_FcJ0NRH5waWtMNLQwPUcv4lDWIGfeO3b55qo3x5Y29IH5-v7lYIPCtt-PmIKIme4vFAzwr_gv8a6lLBhe8s84A618F3KyQGYbn44Jw3iQcPYEl3uYI8PtH_2FsfWO93WdSPZcet6qp3iMwz-sNmHesDj5mxr73daqLcgks6jcqRcEpE7&key=AIzaSyCa5Ww5XHTu4cJCSSfZaxf1GGUTHyyYIx0
